milimeters,N*(m^2)
0,69.1447242078666
50,88.027075219445
100,113.740166081428
150,151.853724456511
200,199.42713784209
250,267.363855128955
300,391.90513807364
350,436.698562855262
400,458.548451150879
450,588.581691779278
500,690.570812980136
550,706.706876809415
600,683.916628551076
650,639.286071498634
700,600.44563685877
750,605.525373772803
800,587.859736424734
850,532.302957675784
900,502.650986334821
950,373.969492659373
1000,252.068368202439
1050,193.966931669843
1100,100.262006714025
1150,65.3128004440048
