milimeters,N*(m^2)
0,79.6080947253405
50,86.290882088926
100,131.164006830628
150,176.288059584533
200,175.566124483211
250,194.563079859665
300,202.779370144785
350,251.557509529536
400,486.871563562617
450,230.916426560635
500,173.637772778059
550,292.295832868949
600,269.665637334154
650,233.770027176808
700,292.320268713779
750,291.011395222053
800,249.444568202915
850,192.498721085295
900,156.377341232905
950,146.460863325537
1000,117.683839475477
1050,87.1676957370907
1100,62.0494873314064
1150,45.7980869511306
1200,35.6617695380234
