milimeters,N*(m^2)
0,184.161367750494
50,118.021794005975
100,140.182533660824
150,131.655786306736
200,170.307026323393
250,183.294726019904
300,152.00050450431
350,168.432991477749
400,207.734022822557
450,154.695548910415
500,139.574931347743
550,139.574931347743
600,121.403000350845
650,128.660681579112
700,147.329094200395
750,148.636045842495
800,119.563226447244
850,95.6651855485762
900,78.0412691454813
950,65.3643164410204
1000,56.4239084171726
1050,52.2914531528163
1100,47.7391948649343
1150,51.7508919124077
1200,99.3283247996213
1250,38.9454472105579
