Format Version,1.23,Take Name,Take 2023-07-14 09.13.06 AM,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,200.000000,Capture Start Time,2023-07-14 09.13.06.887 AM,Capture Start Frame,449115,Total Frames in Take,1688,Total Exported Frames,1688,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody:Marker 0deg,RigidBody:Marker 0deg,RigidBody:Marker 0deg,RigidBody:Marker 135deg,RigidBody:Marker 135deg,RigidBody:Marker 135deg,RigidBody:Marker 180deg,RigidBody:Marker 180deg,RigidBody:Marker 180deg,RigidBody:Marker 225deg,RigidBody:Marker 225deg,RigidBody:Marker 225deg,RigidBody:Marker 270deg,RigidBody:Marker 270deg,RigidBody:Marker 270deg,RigidBody:Marker 315deg,RigidBody:Marker 315deg,RigidBody:Marker 315deg,RigidBody:Marker 45deg,RigidBody:Marker 45deg,RigidBody:Marker 45deg,RigidBody:Marker 90deg,RigidBody:Marker 90deg,RigidBody:Marker 90deg,RigidBody:Marker Hub,RigidBody:Marker Hub,RigidBody:Marker Hub,Unlabeled 1730,Unlabeled 1730,Unlabeled 1730
,ID,"EF155C25225811EE242E35EB6C54D898","EF155C25225811EE242E35EB6C54D898","EF155C25225811EE242E35EB6C54D898","EF155C2D225811EE242E35EB6C54D898","EF155C2D225811EE242E35EB6C54D898","EF155C2D225811EE242E35EB6C54D898","EF155C2B225811EE242E35EB6C54D898","EF155C2B225811EE242E35EB6C54D898","EF155C2B225811EE242E35EB6C54D898","EF155C2A225811EE242E35EB6C54D898","EF155C2A225811EE242E35EB6C54D898","EF155C2A225811EE242E35EB6C54D898","EF155C2C225811EE242E35EB6C54D898","EF155C2C225811EE242E35EB6C54D898","EF155C2C225811EE242E35EB6C54D898","EF155C26225811EE242E35EB6C54D898","EF155C26225811EE242E35EB6C54D898","EF155C26225811EE242E35EB6C54D898","EF155C27225811EE242E35EB6C54D898","EF155C27225811EE242E35EB6C54D898","EF155C27225811EE242E35EB6C54D898","EF155C29225811EE242E35EB6C54D898","EF155C29225811EE242E35EB6C54D898","EF155C29225811EE242E35EB6C54D898","EF155C28225811EE242E35EB6C54D898","EF155C28225811EE242E35EB6C54D898","EF155C28225811EE242E35EB6C54D898","69DAFBD01F3225311EE","69DAFBD01F3225311EE","69DAFBD01F3225311EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,96.563324,262.092987,-53.630432,217.927185,-260.926880,-54.311516,35.463131,-303.810028,-47.989021,-134.808105,-223.415253,-46.586483,-217.638824,11.508002,-45.489635,-136.001358,180.522461,-48.697529,263.580658,182.726349,-55.338215,348.501221,-50.796738,-56.740288,60.856560,13.062656,-55.625408,73.074181,807.377930,-17.457521
1,0.005000,96.562477,262.092590,-53.626942,217.918518,-260.932343,-54.310482,35.467449,-303.803619,-47.991207,-134.813004,-223.413742,-46.596035,-217.638260,11.505140,-45.477669,-136.000397,180.519852,-48.699860,263.579956,182.728638,-55.332886,348.502289,-50.793861,-56.735851,60.858772,13.071665,-55.623745,73.073158,807.374084,-17.457716
2,0.010000,96.561050,262.092316,-53.630856,217.920273,-260.934509,-54.311718,35.462925,-303.806549,-47.986916,-134.810547,-223.414642,-46.594822,-217.635010,11.508684,-45.486622,-136.000000,180.518188,-48.692390,263.586090,182.726837,-55.341320,348.503448,-50.793297,-56.731457,60.855583,13.065534,-55.619125,73.075264,807.375122,-17.461046
3,0.015000,96.555984,262.091187,-53.623051,217.915344,-260.938507,-54.321949,35.467258,-303.803741,-47.985771,-134.806900,-223.410278,-46.586658,-217.641296,11.505519,-45.484306,-135.997681,180.521759,-48.700771,263.583832,182.722672,-55.345100,348.503754,-50.794304,-56.729893,60.859512,13.077371,-55.623497,73.073883,807.378723,-17.457333
4,0.020000,96.560410,262.091888,-53.630341,217.923187,-260.929504,-54.312325,35.466312,-303.806305,-47.983700,-134.809586,-223.413147,-46.586388,-217.639679,11.508395,-45.483829,-136.001160,180.519257,-48.691914,263.590790,182.726273,-55.341217,348.495605,-50.797783,-56.735687,60.858414,13.070674,-55.619251,73.075523,807.374939,-17.458414
5,0.025000,96.565269,262.093628,-53.627724,217.924835,-260.926971,-54.312645,35.466057,-303.804535,-47.984825,-134.803802,-223.413040,-46.585865,-217.636887,11.507592,-45.482861,-135.998138,180.512497,-48.691658,263.585907,182.723633,-55.338863,348.503418,-50.797787,-56.735435,60.860157,13.066009,-55.628448,73.070366,807.372070,-17.461824
