Format Version,1.23,Take Name,Take 2023-07-14 08.55.47 AM,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,200.000000,Capture Start Time,2023-07-14 08.55.48.220 AM,Capture Start Frame,241381,Total Frames in Take,1682,Total Exported Frames,1682,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody:Marker 0deg,RigidBody:Marker 0deg,RigidBody:Marker 0deg,RigidBody:Marker 135deg,RigidBody:Marker 135deg,RigidBody:Marker 135deg,RigidBody:Marker 180deg,RigidBody:Marker 180deg,RigidBody:Marker 180deg,RigidBody:Marker 225deg,RigidBody:Marker 225deg,RigidBody:Marker 225deg,RigidBody:Marker 270deg,RigidBody:Marker 270deg,RigidBody:Marker 270deg,RigidBody:Marker 315deg,RigidBody:Marker 315deg,RigidBody:Marker 315deg,RigidBody:Marker 45deg,RigidBody:Marker 45deg,RigidBody:Marker 45deg,RigidBody:Marker 90deg,RigidBody:Marker 90deg,RigidBody:Marker 90deg,RigidBody:Marker Hub,RigidBody:Marker Hub,RigidBody:Marker Hub,Unlabeled 1178,Unlabeled 1178,Unlabeled 1178,Unlabeled 1179,Unlabeled 1179,Unlabeled 1179
,ID,"82B7C410225611EE242E35EB6C54D898","82B7C410225611EE242E35EB6C54D898","82B7C410225611EE242E35EB6C54D898","82B7C418225611EE242E35EB6C54D898","82B7C418225611EE242E35EB6C54D898","82B7C418225611EE242E35EB6C54D898","82B7C415225611EE242E35EB6C54D898","82B7C415225611EE242E35EB6C54D898","82B7C415225611EE242E35EB6C54D898","82B7C414225611EE242E35EB6C54D898","82B7C414225611EE242E35EB6C54D898","82B7C414225611EE242E35EB6C54D898","82B7C413225611EE242E35EB6C54D898","82B7C413225611EE242E35EB6C54D898","82B7C413225611EE242E35EB6C54D898","82B7C411225611EE242E35EB6C54D898","82B7C411225611EE242E35EB6C54D898","82B7C411225611EE242E35EB6C54D898","82B7C412225611EE242E35EB6C54D898","82B7C412225611EE242E35EB6C54D898","82B7C412225611EE242E35EB6C54D898","82B7C417225611EE242E35EB6C54D898","82B7C417225611EE242E35EB6C54D898","82B7C417225611EE242E35EB6C54D898","82B7C416225611EE242E35EB6C54D898","82B7C416225611EE242E35EB6C54D898","82B7C416225611EE242E35EB6C54D898","62AAFBD01F3225311EE","62AAFBD01F3225311EE","62AAFBD01F3225311EE","69DAFBD01F3225311EE","69DAFBD01F3225311EE","69DAFBD01F3225311EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,95.939552,262.543823,-53.237129,217.865005,-261.421844,-53.041172,35.026299,-304.545258,-47.815712,-135.598740,-224.076462,-47.418755,-218.687012,11.284464,-46.820629,-136.996384,180.687759,-49.637318,263.291534,183.071671,-53.950775,348.493500,-50.833584,-54.843876,60.342709,13.017118,-55.386440,72.763962,1037.706421,-17.829967,,,
1,0.005000,95.944969,262.541901,-53.244850,217.869431,-261.413208,-53.037296,35.034447,-304.543701,-47.810776,-135.593903,-224.073944,-47.417603,-218.687531,11.281776,-46.825951,-136.997925,180.690445,-49.626667,263.293427,183.066315,-53.955662,348.493530,-50.834240,-54.839985,60.337303,13.017496,-55.384296,72.759880,1037.706055,-17.840336,,,
2,0.010000,95.942772,262.542664,-53.242775,217.867676,-261.419556,-53.038540,35.032249,-304.545074,-47.811523,-135.598099,-224.077774,-47.426266,-218.688263,11.281284,-46.824577,-137.000046,180.686203,-49.625095,263.293121,183.069229,-53.956112,348.492950,-50.829189,-54.844997,60.336979,13.017605,-55.384506,72.759926,1037.707764,-17.832731,,,
3,0.015000,95.933670,262.542847,-53.246998,217.862701,-261.423218,-53.044197,35.030045,-304.540710,-47.815063,-135.596451,-224.074554,-47.417667,-218.690811,11.280709,-46.825905,-136.998215,180.682053,-49.636753,263.295563,183.067841,-53.957947,348.489685,-50.836769,-54.841644,60.330551,13.018832,-55.382305,72.759338,1037.705566,-17.836775,,,
4,0.020000,95.942467,262.543549,-53.245132,217.866730,-261.422180,-53.040756,35.033939,-304.545929,-47.817482,-135.598312,-224.076645,-47.419865,-218.693405,11.279369,-46.825577,-136.994766,180.681702,-49.627472,263.290771,183.067032,-53.953178,348.493927,-50.837215,-54.844299,60.331734,13.015303,-55.386646,72.757736,1037.705811,-17.838957,,,
5,0.025000,95.938858,262.546326,-53.250217,217.869263,-261.421600,-53.040195,35.033489,-304.541412,-47.812775,-135.598526,-224.074768,-47.419819,-218.689392,11.281418,-46.825489,-136.996155,180.679031,-49.625462,263.288574,183.068634,-53.946106,348.490906,-50.829994,-54.848946,60.337269,13.014727,-55.392540,72.761467,1037.706543,-17.835752,,,
6,0.030000,95.937210,262.542236,-53.246532,217.866211,-261.425507,-53.036907,35.033405,-304.548615,-47.821472,-135.597565,-224.074646,-47.416557,-218.690414,11.285565,-46.820629,-136.992371,180.688995,-49.633511,263.292236,183.077393,-53.954681,348.492676,-50.829433,-54.844440,60.341305,13.009640,-55.391582,72.758484,1037.704712,-17.833677,,,
7,0.035000,95.938011,262.543823,-53.246357,217.868484,-261.421234,-53.034866,35.033493,-304.545959,-47.816505,-135.596481,-224.076248,-47.423763,-218.689896,11.287588,-46.820721,-136.996994,180.689117,-49.628117,263.291901,183.069382,-53.954594,348.493713,-50.831104,-54.840939,60.339447,13.020553,-55.385956,72.756813,1037.709351,-17.835459,,,
8,0.040000,95.940758,262.543488,-53.248043,217.867050,-261.424133,-53.039131,35.032803,-304.542023,-47.814922,-135.596390,-224.074814,-47.418514,-218.686020,11.280830,-46.826946,-137.000168,180.690964,-49.629482,263.287354,183.070999,-53.954433,348.489838,-50.834312,-54.849236,60.338654,13.016700,-55.387165,72.760368,1037.701782,-17.835861,,,
