Format Version,1.23,Take Name,Dylan Drop 4_002,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,200.000000,Capture Start Time,2023-07-13 03.03.43.856 PM,Capture Start Frame,4449839,Total Frames in Take,1685,Total Exported Frames,1685,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 3012,Unlabeled 3012,Unlabeled 3012,Wheel1:Marker 0deg,Wheel1:Marker 0deg,Wheel1:Marker 0deg,Wheel1:Marker 135deg,Wheel1:Marker 135deg,Wheel1:Marker 135deg,Wheel1:Marker 180deg,Wheel1:Marker 180deg,Wheel1:Marker 180deg,Wheel1:Marker 225deg,Wheel1:Marker 225deg,Wheel1:Marker 225deg,Wheel1:Marker 270deg,Wheel1:Marker 270deg,Wheel1:Marker 270deg,Wheel1:Marker 315deg,Wheel1:Marker 315deg,Wheel1:Marker 315deg,Wheel1:Marker 45deg,Wheel1:Marker 45deg,Wheel1:Marker 45deg,Wheel1:Marker 90deg,Wheel1:Marker 90deg,Wheel1:Marker 90deg,Wheel1:Marker Hub,Wheel1:Marker Hub,Wheel1:Marker Hub
,ID,"1337D68064D7218C11EE","1337D68064D7218C11EE","1337D68064D7218C11EE","BE26663621C011EE242E35EB6C54D898","BE26663621C011EE242E35EB6C54D898","BE26663621C011EE242E35EB6C54D898","BE26663921C011EE242E35EB6C54D898","BE26663921C011EE242E35EB6C54D898","BE26663921C011EE242E35EB6C54D898","BE26663721C011EE242E35EB6C54D898","BE26663721C011EE242E35EB6C54D898","BE26663721C011EE242E35EB6C54D898","BE26663A21C011EE242E35EB6C54D898","BE26663A21C011EE242E35EB6C54D898","BE26663A21C011EE242E35EB6C54D898","BE26663421C011EE242E35EB6C54D898","BE26663421C011EE242E35EB6C54D898","BE26663421C011EE242E35EB6C54D898","BE26663521C011EE242E35EB6C54D898","BE26663521C011EE242E35EB6C54D898","BE26663521C011EE242E35EB6C54D898","BE26663821C011EE242E35EB6C54D898","BE26663821C011EE242E35EB6C54D898","BE26663821C011EE242E35EB6C54D898","BE26663B21C011EE242E35EB6C54D898","BE26663B21C011EE242E35EB6C54D898","BE26663B21C011EE242E35EB6C54D898","BE26663C21C011EE242E35EB6C54D898","BE26663C21C011EE242E35EB6C54D898","BE26663C21C011EE242E35EB6C54D898"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,82.379593,1086.588379,-6.761008,84.520103,265.225037,-49.042770,287.444733,-207.128281,-43.205879,63.989380,-304.454773,-51.872334,-126.829948,-224.115250,-56.187534,-212.568237,-6.307912,-57.180122,-128.069153,183.248795,-51.832756,254.720596,198.715607,-43.808441,351.936615,32.442852,-44.951187,72.604088,6.560194,-51.978344
1,0.005000,82.379181,1086.580566,-6.761131,84.520370,265.225739,-49.038696,287.447937,-207.127777,-43.199841,64.001602,-304.452271,-51.873482,-126.832603,-224.114700,-56.186363,-212.569870,-6.303179,-57.179260,-128.066406,183.247726,-51.846485,254.717682,198.718155,-43.805653,351.934021,32.446129,-44.950188,72.609772,6.554218,-51.977337
2,0.010000,82.382675,1086.591309,-6.762464,84.525734,265.221893,-49.038456,287.450287,-207.133560,-43.208614,63.999065,-304.450043,-51.864620,-126.828957,-224.117813,-56.185066,-212.570984,-6.302079,-57.183689,-128.070801,183.251404,-51.839649,254.717560,198.716858,-43.800930,351.938232,32.444050,-44.946510,72.608551,6.556208,-51.977383
3,0.015000,82.387810,1086.587769,-6.763913,84.526390,265.221222,-49.043198,287.447479,-207.130753,-43.207359,64.002754,-304.457367,-51.870770,-126.830025,-224.118912,-56.185806,-212.572037,-6.302847,-57.176899,-128.068558,183.249069,-51.840778,254.718475,198.719894,-43.805767,351.938782,32.446678,-44.951210,72.609497,6.556997,-51.980320
4,0.020000,82.383270,1086.584473,-6.758171,84.519547,265.222687,-49.040401,287.451630,-207.133942,-43.206242,63.997002,-304.452942,-51.871159,-126.834229,-224.123016,-56.188362,-212.570145,-6.305631,-57.180199,-128.074341,183.250366,-51.835068,254.718185,198.720413,-43.806149,351.940399,32.444492,-44.942986,72.612251,6.554941,-51.971012
5,0.025000,82.384293,1086.583496,-6.763070,84.524162,265.226440,-49.045357,287.448761,-207.129303,-43.205654,63.999756,-304.454254,-51.877464,-126.835541,-224.113419,-56.185627,-212.569611,-6.300469,-57.178730,-128.067261,183.246445,-51.841549,254.717712,198.715286,-43.806183,351.942566,32.439274,-44.953808,72.609978,6.557949,-51.979519
