Format Version,1.23,Take Name,Take 2023-07-17 11.46.30 AM,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,200.000000,Capture Start Time,2023-07-17 11.46.31.038 AM,Capture Start Frame,1658432,Total Frames in Take,1940,Total Exported Frames,1940,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody:Marker 0deg,RigidBody:Marker 0deg,RigidBody:Marker 0deg,RigidBody:Marker 135deg,RigidBody:Marker 135deg,RigidBody:Marker 135deg,RigidBody:Marker 180deg,RigidBody:Marker 180deg,RigidBody:Marker 180deg,RigidBody:Marker 225deg,RigidBody:Marker 225deg,RigidBody:Marker 225deg,RigidBody:Marker 270deg,RigidBody:Marker 270deg,RigidBody:Marker 270deg,RigidBody:Marker 315deg,RigidBody:Marker 315deg,RigidBody:Marker 315deg,RigidBody:Marker 45deg,RigidBody:Marker 45deg,RigidBody:Marker 45deg,RigidBody:Marker 90deg,RigidBody:Marker 90deg,RigidBody:Marker 90deg,RigidBody:Marker Hub,RigidBody:Marker Hub,RigidBody:Marker Hub,Unlabeled 2596,Unlabeled 2596,Unlabeled 2596
,ID,"DC6E274424C911EE242E35EB6C54D898","DC6E274424C911EE242E35EB6C54D898","DC6E274424C911EE242E35EB6C54D898","DC6E274524C911EE242E35EB6C54D898","DC6E274524C911EE242E35EB6C54D898","DC6E274524C911EE242E35EB6C54D898","DC6E274C24C911EE242E35EB6C54D898","DC6E274C24C911EE242E35EB6C54D898","DC6E274C24C911EE242E35EB6C54D898","DC6E274A24C911EE242E35EB6C54D898","DC6E274A24C911EE242E35EB6C54D898","DC6E274A24C911EE242E35EB6C54D898","DC6E274824C911EE242E35EB6C54D898","DC6E274824C911EE242E35EB6C54D898","DC6E274824C911EE242E35EB6C54D898","DC6E274724C911EE242E35EB6C54D898","DC6E274724C911EE242E35EB6C54D898","DC6E274724C911EE242E35EB6C54D898","DC6E274924C911EE242E35EB6C54D898","DC6E274924C911EE242E35EB6C54D898","DC6E274924C911EE242E35EB6C54D898","DC6E274624C911EE242E35EB6C54D898","DC6E274624C911EE242E35EB6C54D898","DC6E274624C911EE242E35EB6C54D898","DC6E274B24C911EE242E35EB6C54D898","DC6E274B24C911EE242E35EB6C54D898","DC6E274B24C911EE242E35EB6C54D898","7A2089D5CF8124B611EE","7A2089D5CF8124B611EE","7A2089D5CF8124B611EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,41.588039,264.627319,-65.915245,281.814362,-191.077805,-59.518929,55.897228,-304.200653,-59.670933,-161.544296,-205.261337,-69.098640,-230.353760,-29.675880,-70.160553,-174.985901,148.968948,-65.771645,267.406403,169.078873,-59.108982,338.404114,-3.218830,-52.510075,54.799538,10.628744,-70.767258,66.658012,987.041992,-22.516720
1,0.005000,41.586102,264.625946,-65.916901,281.812286,-191.076248,-59.513779,55.901459,-304.196777,-59.670982,-161.545883,-205.256531,-69.091232,-230.354355,-29.678680,-70.152687,-174.989044,148.971100,-65.769768,267.413208,169.087250,-59.113861,338.401337,-3.219810,-52.518814,54.798836,10.629812,-70.767479,66.651329,987.039001,-22.512323
2,0.010000,41.587246,264.631256,-65.912704,281.809967,-191.073273,-59.517464,55.894321,-304.197601,-59.669811,-161.542801,-205.259399,-69.100288,-230.349625,-29.680347,-70.145546,-174.978302,148.969543,-65.767845,267.415039,169.083069,-59.119667,338.407227,-3.220973,-52.515911,54.802071,10.628220,-70.768768,66.654846,987.035645,-22.511318
3,0.015000,41.586956,264.628326,-65.916893,281.813293,-191.076904,-59.509560,55.901051,-304.194397,-59.666855,-161.547256,-205.257843,-69.093613,-230.355347,-29.679312,-70.154221,-174.982651,148.969040,-65.769447,267.408325,169.085526,-59.116764,338.406311,-3.220205,-52.521732,54.801781,10.627625,-70.766312,66.652702,987.043030,-22.509996
4,0.020000,41.585430,264.626831,-65.910446,281.814087,-191.071777,-59.520050,55.904362,-304.197052,-59.668522,-161.546310,-205.257172,-69.094765,-230.350357,-29.680313,-70.140190,-174.985886,148.970871,-65.763634,267.413177,169.084549,-59.116196,338.402618,-3.221723,-52.516384,54.798748,10.623854,-70.773605,66.652687,987.040161,-22.514511
5,0.025000,41.584145,264.628052,-65.914345,281.817902,-191.078949,-59.526939,55.893360,-304.197113,-59.674213,-161.541367,-205.266739,-69.100868,-230.354218,-29.679945,-70.154152,-174.981705,148.970078,-65.767822,267.411713,169.085983,-59.112125,338.402100,-3.223224,-52.516190,54.799412,10.625136,-70.757668,66.653656,987.044006,-22.514498
