Format Version,1.23,Take Name,Take 2023-06-26 02.51.41 PM,Take Notes,,Capture Frame Rate,500.000000,Export Frame Rate,500.000000,Capture Start Time,2023-06-26 02.51.41.822 PM,Capture Start Frame,1562457,Total Frames in Take,4599,Total Exported Frames,4599,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1557,Unlabeled 1557,Unlabeled 1557,Unlabeled 1558,Unlabeled 1558,Unlabeled 1558,Unlabeled 1559,Unlabeled 1559,Unlabeled 1559
,ID,"64A549E3878145B11EE","64A549E3878145B11EE","64A549E3878145B11EE","64B549E3878145B11EE","64B549E3878145B11EE","64B549E3878145B11EE","64C549E3878145B11EE","64C549E3878145B11EE","64C549E3878145B11EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,28.113848,-101.129868,157.576630,24.130949,267.084473,280.998383,35.100338,10.319546,286.849518
1,0.002000,28.113277,-101.132439,157.580048,24.135048,267.085358,280.998962,35.100655,10.322523,286.852386
2,0.004000,28.112267,-101.131912,157.580322,24.131615,267.085327,280.996948,35.102345,10.323091,286.847656
3,0.006000,28.110779,-101.131294,157.579559,24.129690,267.083282,281.000214,35.099350,10.321952,286.851776
4,0.008000,28.116693,-101.133499,157.580215,24.131927,267.083282,280.996826,35.103989,10.320887,286.853821
5,0.010000,28.112177,-101.131638,157.583084,24.134754,267.084686,280.999817,35.102463,10.318075,286.850861
6,0.012000,28.112453,-101.136017,157.583374,24.130703,267.081329,280.992676,35.097649,10.317431,286.848938
7,0.014000,28.115921,-101.133171,157.579254,24.130613,267.084900,281.001709,35.097958,10.320834,286.850708
8,0.016000,28.110903,-101.135307,157.580750,24.128576,267.082825,280.999359,35.099617,10.326552,286.850006
9,0.018000,28.111757,-101.136879,157.579300,24.131420,267.083344,280.996948,35.098873,10.318318,286.856689
10,0.020000,28.117947,-101.134888,157.581573,24.129864,267.083344,280.996460,35.099171,10.318728,286.852783
11,0.022000,28.112530,-101.134430,157.584732,24.132946,267.079681,280.995422,35.099380,10.315740,286.859711
12,0.024000,28.114830,-101.132683,157.577850,24.130085,267.083710,280.993530,35.102074,10.316065,286.859283
13,0.026000,28.115370,-101.138336,157.583206,24.131706,267.084534,280.997009,35.099125,10.320229,286.856537
14,0.028000,28.113651,-101.132072,157.581619,24.132416,267.079742,280.992645,35.102482,10.318843,286.850800
15,0.030000,28.112276,-101.132271,157.581573,24.132910,267.081696,280.996246,35.104122,10.317914,286.854187
16,0.032000,28.116676,-101.134941,157.581009,24.132339,267.082275,280.996307,35.103909,10.316790,286.850128
17,0.034000,28.116222,-101.132469,157.580246,24.133512,267.082306,280.996155,35.106079,10.319935,286.848602
18,0.036000,28.111469,-101.137550,157.579498,24.136547,267.083771,281.000549,35.105911,10.318076,286.848907
19,0.038000,28.117567,-101.133347,157.580841,24.132427,267.084106,280.994080,35.106606,10.315180,286.852539
20,0.040000,28.115805,-101.136902,157.582291,24.131281,267.081970,281.002228,35.107147,10.320528,286.849426
21,0.042000,28.115551,-101.134125,157.581146,24.130524,267.079803,280.996979,35.103226,10.318281,286.851715
22,0.044000,28.116743,-101.136612,157.579269,24.131105,267.083069,280.999390,35.101498,10.319310,286.851776
