Format Version,1.23,Take Name,Take 2023-06-26 02.53.05 PM,Take Notes,,Capture Frame Rate,500.000000,Export Frame Rate,500.000000,Capture Start Time,2023-06-26 02.53.05.576 PM,Capture Start Frame,1604334,Total Frames in Take,6959,Total Exported Frames,6959,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1572,Unlabeled 1572,Unlabeled 1572,Unlabeled 1573,Unlabeled 1573,Unlabeled 1573,Unlabeled 1574,Unlabeled 1574,Unlabeled 1574,Unlabeled 1575,Unlabeled 1575,Unlabeled 1575
,ID,"658549E3878145B11EE","658549E3878145B11EE","658549E3878145B11EE","659549E3878145B11EE","659549E3878145B11EE","659549E3878145B11EE","65A549E3878145B11EE","65A549E3878145B11EE","65A549E3878145B11EE","65B549E3878145B11EE","65B549E3878145B11EE","65B549E3878145B11EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,28.116964,-101.125252,157.527893,23.751690,266.895233,281.193726,-1362.141968,224.022079,802.858765,35.086426,10.184478,286.897125
1,0.002000,28.121052,-101.123619,157.528778,23.749895,266.896881,281.187988,-1362.139160,224.021149,802.837402,35.087421,10.185388,286.889526
2,0.004000,28.121359,-101.123482,157.531616,23.754152,266.899200,281.191803,-1362.128540,224.020798,802.839294,35.078991,10.184498,286.893433
3,0.006000,28.122503,-101.122215,157.529495,23.751446,266.897003,281.190430,-1362.133545,224.018478,802.853088,35.081478,10.186218,286.895538
4,0.008000,28.120169,-101.123772,157.527603,23.752834,266.895538,281.187897,-1362.157715,224.008362,802.869812,35.086971,10.184700,286.893463
5,0.010000,28.117222,-101.125374,157.524963,23.751869,266.896851,281.190491,-1362.136719,224.024963,802.843384,35.082207,10.184918,286.890289
6,0.012000,28.115654,-101.129265,157.524872,23.752968,266.897064,281.190613,-1362.153076,224.013489,802.854675,35.078457,10.184760,286.893890
7,0.014000,28.118164,-101.127953,157.526550,23.750334,266.893494,281.192169,-1362.145996,224.010696,802.865356,35.084110,10.181912,286.888153
8,0.016000,28.122057,-101.124390,157.528214,23.751217,266.894226,281.191498,-1362.142090,224.013718,802.865784,35.082062,10.184658,286.897644
9,0.018000,28.119940,-101.127869,157.530472,23.752123,266.895691,281.190460,-1362.149902,223.999420,802.859375,35.085121,10.188744,286.897736
