Format Version,1.23,Take Name,Take 2023-06-29 04.39.19 PM,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,200.000000,Capture Start Time,2023-06-29 04.39.20.428 PM,Capture Start Frame,4625309,Total Frames in Take,21896,Total Exported Frames,21896,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1890,Unlabeled 1890,Unlabeled 1890,Unlabeled 1891,Unlabeled 1891,Unlabeled 1891,Unlabeled 1892,Unlabeled 1892,Unlabeled 1892,Unlabeled 1893,Unlabeled 1893,Unlabeled 1893
,ID,"48572ADDA30E168A11EE","48572ADDA30E168A11EE","48572ADDA30E168A11EE","48992ADDA30E168A11EE","48992ADDA30E168A11EE","48992ADDA30E168A11EE","489B2ADDA30E168A11EE","489B2ADDA30E168A11EE","489B2ADDA30E168A11EE","489C2ADDA30E168A11EE","489C2ADDA30E168A11EE","489C2ADDA30E168A11EE"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,17.119678,958.811096,306.288757,24.672997,252.347946,409.033173,25.716869,571.025696,392.509033,21.989990,821.065186,378.397095
1,0.005000,17.117159,958.806763,306.286499,24.675125,252.348480,409.031769,25.715313,571.026001,392.505676,21.985323,821.066772,378.399902
2,0.010000,17.120628,958.807251,306.286346,24.676266,252.346786,409.034424,25.711565,571.022705,392.506226,21.986185,821.067200,378.398071
3,0.015000,17.120518,958.808105,306.286194,24.671869,252.344406,409.035950,25.716015,571.024963,392.501465,21.988718,821.065857,378.403229
4,0.020000,17.116779,958.806641,306.285553,24.676529,252.344223,409.036896,25.713686,571.025146,392.503113,21.987000,821.066895,378.399323
5,0.025000,17.121159,958.806763,306.291473,24.672152,252.346848,409.034821,25.713223,571.023010,392.505981,21.985292,821.066467,378.400787
6,0.030000,17.115273,958.804993,306.285095,24.677395,252.347107,409.031189,25.717730,571.022522,392.500427,21.984520,821.068604,378.400726
7,0.035000,17.117825,958.808411,306.287109,24.675451,252.346283,409.036621,25.716948,571.021545,392.507019,21.985270,821.066467,378.398804
8,0.040000,17.115299,958.807739,306.289917,24.670656,252.348328,409.034210,25.718809,571.025391,392.505280,21.986629,821.063660,378.397491
9,0.045000,17.122368,958.809204,306.288544,24.674559,252.346039,409.038849,25.716251,571.020142,392.506104,21.985392,821.065674,378.402649
10,0.050000,17.122511,958.808289,306.288696,24.675808,252.343506,409.032532,25.717529,571.020569,392.503815,21.986500,821.065857,378.400299
11,0.055000,17.124218,958.807678,306.289429,24.674156,252.345139,409.031830,25.714485,571.023804,392.503784,21.982353,821.065735,378.404633
12,0.060000,17.118866,958.808716,306.287079,24.677134,252.348007,409.037994,25.717768,571.020142,392.504059,21.982342,821.070923,378.397675
13,0.065000,17.120733,958.808960,306.286682,24.672424,252.346451,409.034088,25.714237,571.021667,392.505920,21.985029,821.066956,378.402771
14,0.070000,17.121891,958.807068,306.287659,24.672115,252.345352,409.036102,25.716248,571.023621,392.507111,21.984682,821.065979,378.399353
15,0.075000,17.119434,958.806763,306.290161,24.676357,252.347229,409.032776,25.714840,571.025208,392.502380,21.983654,821.067322,378.400482
16,0.080000,17.118093,958.808044,306.286560,24.674393,252.346664,409.033813,25.716696,571.023499,392.507050,21.984020,821.067566,378.404755
17,0.085000,17.117413,958.807556,306.289673,24.680672,252.345322,409.034668,25.713562,571.026611,392.504761,21.987743,821.067139,378.405731
18,0.090000,17.116453,958.806946,306.286957,24.671551,252.346130,409.032166,25.710680,571.026611,392.503998,21.984690,821.068970,378.397034
19,0.095000,17.115974,958.806396,306.283173,24.673811,252.343445,409.033173,25.712828,571.023254,392.508545,21.984661,821.068787,378.396973
20,0.100000,17.118952,958.808960,306.290649,24.677763,252.346100,409.039246,25.716597,571.024170,392.503204,21.986935,821.064575,378.402374
21,0.105000,17.122139,958.809509,306.287262,24.674021,252.344604,409.034088,25.714092,571.021423,392.505219,21.987740,821.066528,378.402405
22,0.110000,17.123602,958.807129,306.288208,24.670843,252.349045,409.033752,25.717484,571.022461,392.499451,21.985254,821.064636,378.403625
23,0.115000,17.118195,958.808716,306.288635,24.676405,252.347137,409.037262,25.712753,571.024231,392.501221,21.984619,821.067078,378.401367
24,0.120000,17.119329,958.806885,306.288025,24.675810,252.342728,409.038147,25.713051,571.016968,392.504944,21.990164,821.065186,378.399292
25,0.125000,17.115824,958.806335,306.289673,24.677717,252.348129,409.033508,25.715120,571.023499,392.505310,21.985424,821.065674,378.398895
26,0.130000,17.119696,958.804993,306.282288,24.675322,252.347763,409.034454,25.716682,571.022583,392.506714,21.985825,821.066284,378.401825
27,0.135000,17.118416,958.806396,306.287537,24.676819,252.344437,409.035370,25.717741,571.024963,392.503479,21.986168,821.064392,378.403320
28,0.140000,17.119726,958.807007,306.286255,24.675150,252.343094,409.035278,25.711977,571.023315,392.500916,21.987993,821.066589,378.400024
29,0.145000,17.119970,958.807800,306.286926,24.673016,252.351517,409.033478,25.715223,571.022095,392.502747,21.985104,821.068787,378.401245
30,0.150000,17.119362,958.807495,306.282013,24.677956,252.346161,409.032990,25.716824,571.022156,392.504425,21.985966,821.067688,378.397278
31,0.155000,17.122231,958.807922,306.284241,24.670755,252.345566,409.031891,25.714739,571.021973,392.500549,21.987621,821.066467,378.397766
32,0.160000,17.119394,958.806335,306.287750,24.672665,252.344635,409.039703,25.717964,571.024109,392.506226,21.985434,821.068665,378.402802
33,0.165000,17.120800,958.808105,306.289001,24.671192,252.345474,409.032959,25.717571,571.026306,392.504761,21.987242,821.065430,378.400360
34,0.170000,17.120209,958.803345,306.288818,24.672186,252.349579,409.034973,25.717993,571.024109,392.506836,21.987511,821.068604,378.398254
35,0.175000,17.121269,958.807251,306.286865,24.674591,252.345352,409.032501,25.718967,571.021851,392.504730,21.986544,821.066162,378.399109
36,0.180000,17.118816,958.806946,306.285187,24.672346,252.347534,409.035309,25.716553,571.022949,392.505188,21.986048,821.064697,378.402649
37,0.185000,17.117653,958.807312,306.288788,24.675224,252.345825,409.031586,25.718445,571.022522,392.502777,21.986492,821.069153,378.398529
38,0.190000,17.123415,958.808228,306.290405,24.674158,252.345886,409.037811,25.715073,571.021851,392.502960,21.983450,821.066284,378.398193
39,0.195000,17.123180,958.808777,306.290405,24.675043,252.345795,409.033600,25.718588,571.021484,392.506958,21.983267,821.063354,378.396301
40,0.200000,17.120073,958.805908,306.284607,24.672695,252.347290,409.033630,25.718378,571.023987,392.504974,21.990084,821.069458,378.396362
41,0.205000,17.117992,958.806030,306.289886,24.674107,252.346420,409.037750,25.717197,571.023743,392.506805,21.984661,821.068970,378.400146
42,0.210000,17.116449,958.809265,306.286194,24.676521,252.346817,409.036377,25.713976,571.023987,392.500519,21.988485,821.067505,378.399231
43,0.215000,17.117390,958.807495,306.290771,24.677221,252.346359,409.027710,25.712624,571.024353,392.506134,21.982920,821.066528,378.399200
44,0.220000,17.121338,958.805115,306.287872,24.673628,252.349579,409.029541,25.717888,571.024231,392.503601,21.991110,821.066895,378.400726
45,0.225000,17.118961,958.805908,306.286285,24.675667,252.349258,409.033295,25.712814,571.024780,392.509644,21.985073,821.065430,378.398346
46,0.230000,17.120911,958.807861,306.288269,24.675049,252.343170,409.035156,25.712563,571.026123,392.506775,21.988998,821.064209,378.398651
47,0.235000,17.117405,958.807556,306.290161,24.671761,252.349167,409.036835,25.715775,571.023682,392.501495,21.984344,821.065735,378.403229
48,0.240000,17.119604,958.806824,306.287048,24.672958,252.347198,409.036163,25.713537,571.022156,392.502319,21.985710,821.067566,378.399719
49,0.245000,17.119560,958.805786,306.288025,24.673449,252.348068,409.033997,25.714561,571.023621,392.502991,21.984652,821.069397,378.398376
50,0.250000,17.124731,958.808105,306.286224,24.676174,252.345108,409.032043,25.715733,571.021301,392.503906,21.988729,821.068970,378.401276
51,0.255000,17.120474,958.809082,306.284698,24.672346,252.347504,409.035583,25.716265,571.023193,392.501495,21.986473,821.064880,378.401031
52,0.260000,17.118904,958.808289,306.285217,24.671795,252.346451,409.039429,25.716843,571.025635,392.500854,21.987614,821.066345,378.400482
53,0.265000,17.119019,958.808960,306.288574,24.673290,252.348068,409.031067,25.716078,571.025696,392.501404,21.987053,821.067566,378.404175
54,0.270000,17.120823,958.808167,306.287048,24.673470,252.345505,409.032288,25.717621,571.021240,392.505737,21.988659,821.064941,378.402100
55,0.275000,17.120689,958.808655,306.287689,24.669350,252.347504,409.036346,25.709942,571.024536,392.504150,21.985811,821.066223,378.398895
56,0.280000,17.116816,958.806213,306.289856,24.673603,252.345596,409.037598,25.712992,571.022278,392.503052,21.982635,821.068665,378.402008
57,0.285000,17.116159,958.813293,306.285339,24.675102,252.347595,409.032959,25.717724,571.025513,392.507416,21.984230,821.066895,378.402710
58,0.290000,17.120392,958.806030,306.284821,24.674885,252.344009,409.040222,25.715765,571.022339,392.505859,21.984156,821.063904,378.396057
59,0.295000,17.119907,958.806152,306.287048,24.674614,252.345734,409.037140,25.716070,571.020569,392.505310,21.981594,821.066406,378.393555
60,0.300000,17.120699,958.806274,306.286743,24.675287,252.347733,409.032166,25.714766,571.022339,392.503174,21.988110,821.066162,378.399536
61,0.305000,17.118042,958.805542,306.286285,24.673172,252.345764,409.029877,25.714895,571.020996,392.505768,21.984062,821.067200,378.401733
62,0.310000,17.117271,958.807617,306.293640,24.678473,252.345001,409.038147,25.715019,571.023560,392.504883,21.984264,821.065918,378.398560
63,0.315000,17.115061,958.805481,306.283600,24.673267,252.346283,409.038605,25.717804,571.026123,392.501190,21.987011,821.067566,378.400726
64,0.320000,17.120132,958.809509,306.289520,24.674328,252.345947,409.036865,25.715012,571.022217,392.503113,21.986425,821.068481,378.401917
65,0.325000,17.118948,958.805176,306.285583,24.675735,252.347076,409.032990,25.717684,571.024292,392.505341,21.986183,821.065369,378.400818
66,0.330000,17.122244,958.811096,306.288910,24.674763,252.346390,409.035400,25.711878,571.023254,392.505798,21.986317,821.067444,378.407501
67,0.335000,17.118996,958.807617,306.287750,24.672657,252.345718,409.034180,25.718502,571.024048,392.507233,21.983473,821.068909,378.400879
68,0.340000,17.119127,958.808594,306.286102,24.674543,252.347504,409.034515,25.717934,571.022217,392.507050,21.988588,821.064941,378.399078
69,0.345000,17.121607,958.806824,306.288727,24.675091,252.345474,409.034088,25.716284,571.021484,392.504944,21.987179,821.066040,378.398407
70,0.350000,17.119738,958.810486,306.289856,24.674778,252.346512,409.034576,25.715004,571.022827,392.508148,21.984303,821.066772,378.399872
71,0.355000,17.121487,958.804993,306.291260,24.672922,252.348877,409.033844,25.714563,571.021484,392.505951,21.987265,821.065613,378.398560
72,0.360000,17.120508,958.805237,306.292603,24.674683,252.343750,409.034668,25.718340,571.022034,392.500793,21.984032,821.065369,378.400238
73,0.365000,17.120409,958.808777,306.285980,24.671068,252.348907,409.035767,25.716471,571.022888,392.505920,21.985962,821.064392,378.398560
74,0.370000,17.120153,958.806702,306.290314,24.671556,252.345734,409.038849,25.712803,571.022522,392.503815,21.987152,821.065125,378.399445
75,0.375000,17.118324,958.806213,306.284027,24.677490,252.346878,409.036621,25.713627,571.026367,392.507355,21.987011,821.065674,378.402008
76,0.380000,17.122574,958.806763,306.287933,24.676191,252.344757,409.035339,25.711342,571.026062,392.505737,21.984680,821.066650,378.400177
77,0.385000,17.120876,958.808472,306.291687,24.672266,252.348358,409.034363,25.720749,571.021912,392.505127,21.985292,821.067078,378.399200
78,0.390000,17.116978,958.808472,306.287231,24.678038,252.347382,409.035248,25.717918,571.020630,392.502258,21.986731,821.064331,378.399261
79,0.395000,17.115601,958.807922,306.289032,24.673248,252.350174,409.036316,25.718191,571.022583,392.504395,21.986687,821.067383,378.398102
80,0.400000,17.115526,958.809692,306.290161,24.675064,252.345917,409.035889,25.715158,571.026245,392.508240,21.984631,821.070984,378.400604
81,0.405000,17.118671,958.806946,306.288208,24.675589,252.347702,409.032928,25.717920,571.021729,392.501343,21.987221,821.069641,378.401337
82,0.410000,17.119167,958.807373,306.286438,24.673346,252.345856,409.035706,25.716520,571.025085,392.506714,21.983559,821.069397,378.405792
83,0.415000,17.119738,958.808533,306.288239,24.672871,252.347382,409.036133,25.719179,571.019226,392.501892,21.985903,821.064392,378.400208
84,0.420000,17.121990,958.806152,306.288330,24.674089,252.349289,409.039124,25.715721,571.025635,392.504639,21.988771,821.067078,378.398315
85,0.425000,17.119774,958.809570,306.290100,24.672422,252.344223,409.033508,25.715342,571.023315,392.503815,21.983742,821.065002,378.399414
86,0.430000,17.118944,958.808044,306.291077,24.674618,252.348541,409.035278,25.715818,571.027222,392.510040,21.988060,821.068054,378.402740
87,0.435000,17.120508,958.808960,306.289612,24.676517,252.343506,409.035858,25.715797,571.025940,392.504913,21.989105,821.066101,378.404022
88,0.440000,17.122169,958.807861,306.287140,24.675821,252.343689,409.033447,25.711798,571.024719,392.502319,21.983831,821.070007,378.400421
89,0.445000,17.117435,958.807495,306.290771,24.674574,252.346161,409.033325,25.715076,571.021240,392.504089,21.983940,821.065063,378.400604
90,0.450000,17.118519,958.807129,306.287537,24.675745,252.343506,409.033112,25.716568,571.022400,392.501495,21.986160,821.068420,378.402161
91,0.455000,17.120861,958.809326,306.290070,24.674608,252.343536,409.036835,25.713911,571.021912,392.502350,21.984737,821.069702,378.398315
92,0.460000,17.121380,958.807373,306.285095,24.679382,252.344940,409.037231,25.715683,571.025635,392.500885,21.985571,821.064636,378.399475
